City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Moindou,NC,-21.6924,165.677,78.75,67,13,11.39,few clouds
79,Chuy,UY,-33.6971,-53.4616,53.42,95,36,7.67,scattered clouds
80,Ponta Do Sol,PT,32.6667,-17.1,70.43,66,17,6.17,few clouds
81,San Patricio,US,28.017,-97.5169,80.46,73,3,8.97,clear sky
82,Flinders,AU,-34.5833,150.8552,72.81,55,27,11.14,scattered clouds
83,Vaini,TO,-21.2,-175.2,77.16,78,20,10.36,few clouds
84,Victoria,HK,22.2855,114.1577,78.04,69,10,1.99,clear sky
85,Lunglei,IN,22.8833,92.7333,79.57,49,8,1.88,clear sky
86,Inhambane,MZ,-23.865,35.3833,75.18,88,75,9.22,broken clouds
87,Khanpur,PK,28.6453,70.6567,74.73,58,0,20.07,clear sky
88,Padang,ID,-0.9492,100.3543,82.45,79,79,5.91,broken clouds
89,Alyangula,AU,-13.8483,136.4192,87.67,70,40,8.05,scattered clouds
90,Qaanaaq,GL,77.484,-69.3632,-1.68,58,0,7.81,clear sky
91,Viedma,AR,-40.8135,-62.9967,45.66,29,1,11.16,clear sky
92,Chokurdakh,RU,70.6333,147.9167,-2.38,97,98,4.79,overcast clouds
93,Castro,BR,-24.7911,-50.0119,58.53,96,100,4.9,light rain
94,Barrow,US,71.2906,-156.7887,30.22,80,90,14.97,overcast clouds
95,Muros,ES,42.7762,-9.0603,57.83,96,2,6.85,clear sky
96,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,83,87,6.31,overcast clouds
97,Sitka,US,57.0531,-135.33,46.29,71,90,9.22,light rain
98,Albany,US,42.6001,-73.9662,47.8,81,51,5.97,broken clouds
99,Adrar,MR,20.5022,-10.0711,78.66,15,51,8.5,broken clouds
100,Turukhansk,RU,65.8167,87.9833,32.22,99,100,10.92,snow
101,Zeya,RU,53.75,127.2667,46.15,57,22,2.82,few clouds
102,Omboue,GA,-1.5746,9.2618,75.0,91,100,3.0,light rain
103,Korla,CN,41.7597,86.1469,53.44,32,40,4.54,scattered clouds
104,Koplik,AL,42.2136,19.4364,56.8,76,100,3.49,overcast clouds
105,Aksay,RU,47.26,39.87,52.25,78,100,1.99,overcast clouds
